| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| Python，Java助教，讲师（薪资面议） | 郑州·二七区·马寨镇 | 3-5K·13薪 | 经验不限大专 | 郑州多学点教育科技 | 在线教育0-20人 | https://www.zhipin.com/job_detail/4d04cc9e279fd4ff1XB73Nu1F1dV.html |
| java工程师 | 郑州·管城回族区·紫荆山 | 4000-7000元/月 | 3-5年大专 | 谷赛网络 | 计算机软件不需要融资0-20人 | https://www.zhipin.com/job_detail/b9288edf6bab16c71Hx-0tm1FFdT.html |
| 研发经理(Java)_郑州 | 郑州·中原区·碧沙岗 | 18-25K | 5-10年本科 | 上海巨耕 | 信息安全未融资100-499人 | https://www.zhipin.com/job_detail/5b40eb68f62d24681HN-29y0FFBR.html |
| 后端研发工程师 | 郑州·管城回族区·郑州东站 | 12-24K·16薪 | 经验不限本科 | 蚂蚁集团 | 互联网D轮及以上10000人以上 | https://www.zhipin.com/job_detail/a32b6caaf3fbce401X1709y6F1FT.html |
| Java开发工程师 | 郑州·金水区·东风路 | 10-15K | 3-5年大专 | 盘古科技 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/d373a2fc5dcfc5be0nJ53t2-FlE~.html |
| 【六险一金、双休】Java开发 | 郑州·中原区·高新区 | 11-16K | 5-10年本科 | 武汉鸿宸信 | 企业服务未融资100-499人 | https://www.zhipin.com/job_detail/3c58d51271d730ab1Hx82d-1GFtZ.html |
| JAVA技术总监（储备岗） | 郑州·金水区·省电视台 | 12-20K | 5-10年本科 | 郑州蓝元科技 | 计算机服务20-99人 | https://www.zhipin.com/job_detail/00d0aa4fe5af11591nR_3di0EFZU.html |
| Java技术经理 | 郑州·中原区·高新区 | 8-13K | 5-10年本科 | 积沙石 | 企业服务20-99人 | https://www.zhipin.com/job_detail/043b08173c8e901a1HF83925F1VY.html |
| 开发工程师 | 郑州·金水区·CBD | 6-9K | 1-3年本科 | 杭州明佑电子有限... | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/50f6bf5a8de4a0e31HNz3Ni_FFJU.html |
| JAVA培训讲师 | 郑州·金水区·祭城 | 8-13K | 1-3年本科 | 豫彬实训基地 | 培训/辅导机构不需要融资0-20人 | https://www.zhipin.com/job_detail/260de4f673c2a2da1nJ809m6FVVY.html |
| Java开发工程师 | 郑州·金水区·祭城 | 11-14K·13薪 | 5-10年本科 | 风度软件 | 计算机服务不需要融资100-499人 | https://www.zhipin.com/job_detail/8dc15ee2c9c662631nJ52tS_ElFQ.html |
| java（国企直招） | 郑州 | 20-26K·13薪 | 经验不限本科 | 某大型计算机软件公司 | 计算机软件100-499人 | https://www.zhipin.com/job_detail/8b15f465736c3e471HF50tq0FlVT.html |
