| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| JAVA高级软件工程师 | 长沙·岳麓区·麓谷 | 15-25K·14薪 | 5-10年本科 | 蜜獾信息 | 计算机软件不需要融资500-999人 | https://www.zhipin.com/job_detail/494b59219286dc341HN-39q_EVpR.html |
| 高级Java开发工程师 | 长沙·长沙县·城西安置小区 | 14-28K | 5-10年大专 | 语亦云 | 大数据未融资20-99人 | https://www.zhipin.com/job_detail/848a4474362d2f481nF50t67FFBX.html |
| Java高级开发/架构师 | 长沙·岳麓区·观沙岭 | 15-30K·15薪 | 5-10年本科 | Webull微步 | 证券/期货C轮500-999人 | https://www.zhipin.com/job_detail/7bafc1fa831cb5d11XV92Nu1EVJV.html |
| Java高级开发工程师 | 长沙·芙蓉区·东屯渡 | 15-23K·13薪 | 3-5年本科 | 长沙市芙蓉区多联... | 互联网0-20人 | https://www.zhipin.com/job_detail/d9a35fb4685d66b41HZz3929FVdR.html |
| Java开发 | 长沙·岳麓区·涉外经济学院 | 11-13K·13薪 | 5-10年大专 | 软通动力 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/65713bf2ccb052491Hx809--EFdX.html |
| java高级开发 | 长沙 | 18-30K·13薪 | 5-10年本科 | 某大型互联网通信上市公司 | 互联网已上市10000人以上 | https://www.zhipin.com/job_detail/29187a9f3028b70e1Hx_29q1GVJV.html |
| JAVA后端开发工程师 | 长沙·岳麓区·望城坡 | 14-17K | 5-10年本科 | 华通科技 | 计算机软件不需要融资500-999人 | https://www.zhipin.com/job_detail/ff497104d1cd2cef1Hx-2tu8FltU.html |
| java开发 | 长沙·岳麓区·望城坡 | 9-14K | 5-10年本科 | 南昌中展数智科技 | 计算机软件不需要融资1000-9999人 | https://www.zhipin.com/job_detail/fea98788f69bdcd81Hx_2Nu8FVFU.html |
| java开发工程师 | 长沙·开福区·青竹湖 | 20-40K·13薪 | 5-10年本科 | 老百姓大药房 | 医疗健康已上市10000人以上 | https://www.zhipin.com/job_detail/d0c6f9d3c6416b301HN639y5GVBU.html |
| Java开发工程师-银行正编（年薪制） | 长沙 | 29-35K | 3-5年本科 | 某银行公司 | 银行20-99人 | https://www.zhipin.com/job_detail/1abcf7e8f51844f51HN83dq0GFpS.html |
| java开发工程师 | 长沙·岳麓区·含浦 | 9-13K·13薪 | 5-10年本科 | 启朔科技 | 互联网天使轮20-99人 | https://www.zhipin.com/job_detail/b3feae34c2ba1bc51Hx63Nm8EVNR.html |
| JAVA开发（线上面试） | 长沙·天心区·城南路 | 12-17K | 5-10年本科 | 法本 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/41fc0146d3e660f61Hx-2d-6FFFZ.html |
| java开发 | 长沙 | 15-25K | 1-3年大专 | 某大型互联网物流服务平台公司 | 互联网D轮及以上10000人以上 | https://www.zhipin.com/job_detail/ec7c2138fb978ea31Hx53Nm0GFNZ.html |
| Java 中间件研发工程师 | 长沙·岳麓区·望城坡 | 15-25K | 5-10年本科 | 美迈科技 | 电子商务A轮500-999人 | https://www.zhipin.com/job_detail/68356954b6332b651Hx929q4FVVX.html |
