| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| Android安卓开发工程师（沈阳） | 沈阳·浑南区·白塔 | 10-15K | 1-3年大专 | 柯莱特集团 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/68c3bed4d976af7e1Hx_09i9GFtS.html |
| 技术经理（Java方向） | 沈阳·沈河区·一经 | 15-25K | 5-10年本科 | 云徙科技 | 互联网D轮及以上1000-9999人 | https://www.zhipin.com/job_detail/e911e0f0014668421Hx-2dS-F1NS.html |
| 前端开发工程师 | 沈阳 | 8-10K | 3-5年本科 | 沈阳泰途科技有限公司 | 计算机服务100-499人 | https://www.zhipin.com/job_detail/677a401fc0641b1c1HN93t-0E1pT.html |
| 运维工程师 | 沈阳·浑南区·白塔 | 6-10K | 1-3年本科 | 锐达医疗 | 互联网天使轮20-99人 | https://www.zhipin.com/job_detail/c2214b76c6fa07fc1HN80tu1FFJV.html |
| 项目经理（对日方向） | 沈阳·浑南区·桃仙 | 15-25K | 3-5年本科 | 中新软件 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/83b7e348a5edf24f1HBz3dm_F1BV.html |
| java开发 | 沈阳·沈河区·北站 | 15-20K | 5-10年本科 | 国槐科技 | 计算机服务C轮20-99人 | https://www.zhipin.com/job_detail/499e192f9bd46ea01HJ_2t-_EVFS.html |
| Lead Data&AI Architect | 沈阳·铁西区·大潘 | 12-15K·15薪 | 5-10年硕士 | 华晨宝马 | 汽车研发/制造不需要融资10000人以上 | https://www.zhipin.com/job_detail/ab8e78c83807a1661HF83tS7E1pX.html |
| GIS开发 | 沈阳·大东区·中街 | 11-16K | 3-5年本科 | 晟丰原科技 | 互联网天使轮100-499人 | https://www.zhipin.com/job_detail/ae98ae1653929f3d1Hx639W-FVRW.html |
| 系统工程师 | 沈阳·皇姑区·昆山 | 3-6K | 经验不限大专 | 智美添诚 | 互联网20-99人 | https://www.zhipin.com/job_detail/8f5bbe2fb4fb60fd1HF82t-9EFdR.html |
| Java(沈阳驻场） | 沈阳·铁西区·大潘 | 8-10K | 1-3年本科 | 南京辛束信息科技 | 计算机软件0-20人 | https://www.zhipin.com/job_detail/390a158795387f4e1Hx_3du9FFJR.html |
| python开发工程师 | 沈阳·沈河区·一经 | 5-10K·13薪 | 经验不限本科 | 颁德优化 | 计算机软件0-20人 | https://www.zhipin.com/job_detail/ead568581514ce641Hx72dy8F1FX.html |
| Java Lead | 沈阳 | 18-22K·15薪 | 10年以上本科 | 某500强上市公司 | 汽车研发/制造不需要融资10000人以上 | https://www.zhipin.com/job_detail/80a73e81804015611XN73dq5ElVS.html |
| 车载安卓工程师 | 沈阳·浑南区·白塔 | 11-15K | 5-10年大专 | 华宇软件 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/659be87e5b182eba1HN609q7F1ZX.html |
| java开发工程师 | 沈阳·和平区·西塔 | 9-14K | 5-10年本科 | 银兴科技 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/7eae761422141bcf1Hx52dy8ElRR.html |
| 资深全栈开发工程师 | 沈阳·皇姑区·昆山 | 15-18K | 5-10年本科 | 勃跃科技 | 计算机软件0-20人 | https://www.zhipin.com/job_detail/1916f155d9a04c9a1Hx-29u0ElRS.html |
| oa实施工程师 | 沈阳·沈河区·市府 | 3-4K | 在校/应届本科 | 云联科技 | 企业服务未融资0-20人 | https://www.zhipin.com/job_detail/4399d8b04e58ec6e1X193dS6FFdW.html |
| Java开发工程师 | 沈阳·和平区·太原街 | 7-10K | 3-5年本科 | 冠珹餐饮 | 餐饮未融资100-499人 | https://www.zhipin.com/job_detail/faa2ccded64734131HN42dq5GVtU.html |
| u3d开发工程师 | 沈阳·皇姑区·昆山 | 10-15K | 3-5年本科 | 军鹰. | 铁路/船舶/航空/航天制造不需要融资20-99人 | https://www.zhipin.com/job_detail/eee37358e56af8641HN529-1EVNW.html |
| 网络安全产品研发总监 | 沈阳·和平区·三好街 | 18-30K·14薪 | 3-5年本科 | 北京双湃智安科技... | 互联网A轮20-99人 | https://www.zhipin.com/job_detail/b384288b77e21a430HZz2tS0GVI~.html |
| java开发工程师 | 沈阳·浑南区·白塔 | 8-9K | 3-5年本科 | 航科天成 | 计算机软件20-99人 | https://www.zhipin.com/job_detail/8d8c488d74a0f6dd1HNy3d21FFNV.html |
| java开发工程师(高级) | 沈阳·沈北新区·虎石台 | 11-18K | 5-10年本科 | 数瞳 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/c0bc97d9abbcb2471Hd52dy4ElBV.html |
| android开发工程师 | 沈阳·浑南区·深井子 | 6-8K | 3-5年本科 | 俊博科技 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/a0b855edbe94d8a61Hx62d2-F1NW.html |
| 软件工程师 | 沈阳·浑南区·沈阳建筑大学 | 4-6K | 3-5年大专 | 航科智能 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/75d6411fe1eea28d1Hd42dS_E1FW.html |
| 对日项目管理 | 沈阳·和平区·三好街 | 8-12K·14薪 | 5-10年本科 | 微思软件 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/b3f3e50d8e1840f01HR63dm9FlNS.html |
| 技术总监 | 沈阳·大东区·中街 | 20-25K | 5-10年本科 | 仰群华创 | 计算机软件不需要融资20-99人 | https://www.zhipin.com/job_detail/dc44bf5882499a141Hx63t-_EldR.html |
| 数据库程序员（DBP） | 沈阳·皇姑区·辽河 | 8-13K·13薪 | 1-3年本科 | 北京科林利康 | 其他专业服务未融资500-999人 | https://www.zhipin.com/job_detail/0398521ba60fe1891HNy0t2-EFVT.html |
| 数据库工程师 | 沈阳·大东区·洮昌 | 6-10K | 1-3年本科 | 星翼信息 | 计算机服务20-99人 | https://www.zhipin.com/job_detail/468a9173516d70011HJz2tW1FFJR.html |
| 中级java工程师 | 沈阳·沈河区·青年大街 | 6-9K | 1-3年大专 | 汉华软件 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/cae447b2c86c93ea1XB82dq7FVNQ.html |
| 鸿蒙讲师 | 沈阳 | 8-13K | 1-3年本科 | 沈阳思倍思智能科技 | 互联网不需要融资20-99人 | https://www.zhipin.com/job_detail/950f49cd4f03a7d41HNy2d-9EFJZ.html |
| JAVA开发工程师 | 沈阳·浑南区·奥体 | 10-15K·13薪 | 3-5年本科 | 中拓新源 | 其他新能源未融资20-99人 | https://www.zhipin.com/job_detail/130853dff5cf74dc1HZ92tq8F1pS.html |
| 初级java开发工程师 | 沈阳·浑南区·白塔 | 4-5K | 1-3年大专 | 时粤科技 | 计算机软件未融资100-499人 | https://www.zhipin.com/job_detail/d8df0cfb89f115181Hx73dS4EFRV.html |
| 计算机视觉算法程序员 | 沈阳·沈北新区·道义 | 2-3K | 1-3年大专 | 沈阳西派博科技术 | 计算机软件0-20人 | https://www.zhipin.com/job_detail/ff7a464def37fbe11HZ82920GVpU.html |
| 安卓工程师 | 沈阳·浑南区·白塔 | 8-13K | 3-5年大专 | 盈客数科 | 计算机软件不需要融资0-20人 | https://www.zhipin.com/job_detail/ea32b6839448d4c51HJz09y7FVFX.html |
| 系统架构师 | 沈阳·于洪区·黄河 | 20-40K·14薪 | 3-5年本科 | 成都精灵云 | 计算机软件B轮100-499人 | https://www.zhipin.com/job_detail/46a0906d61cbb0ac1HNz2Nq_ElJU.html |
| Java php 前后端 | 沈阳·沈北新区·道义 | 10-15K | 3-5年学历不限 | 环球创新国际文化 | 游戏未融资100-499人 | https://www.zhipin.com/job_detail/a1342ef24caa96ac1Hx409i0EVJX.html |
| java中高级开发工程师 | 沈阳·皇姑区·沈阳师范大学 | 6-10K | 3-5年本科 | 迅合科技 | 计算机软件0-20人 | https://www.zhipin.com/job_detail/0770c57bf63e55151Hx53tu6EFdX.html |
| Java开发工程师 | 沈阳·和平区·文化路 | 5-10K | 3-5年本科 | 美智物联 | 计算机软件20-99人 | https://www.zhipin.com/job_detail/e59e0a3b4b6bf0981HJ709i5FFNQ.html |
| Golang开发工程师 | 沈阳·沈河区·五里河 | 5-10K | 3-5年学历不限 | 佰饱箱 | 互联网天使轮20-99人 | https://www.zhipin.com/job_detail/41b9e262a9890fa51HF-0ti-FltT.html |
| 后端开发工程师 | 沈阳 | 20-40K·16薪 | 3-5年本科 | 某大型互联网上市公司 | 互联网已上市10000人以上 | https://www.zhipin.com/job_detail/2664740fb8db1a0d1HN80tW0EVBZ.html |
| java开发工程师 | 沈阳·皇姑区·北陵 | 6-8K | 3-5年大专 | 云邦 | 计算机软件不需要融资20-99人 | https://www.zhipin.com/job_detail/21207ba0c296b6c51HF62du4FVdX.html |
| 物联网讲师 | 沈阳·浑南区·桃仙 | 5-6K | 1-3年本科 | 中嘉博众 | 在线教育未融资100-499人 | https://www.zhipin.com/job_detail/272be96fe77a178b1X1_2dS0FVVR.html |
| 中级java开发工程师 | 沈阳·沈河区·市府 | 4500-5000元/月 | 1-3年学历不限 | 宇宙软件科技 | 计算机软件0-20人 | https://www.zhipin.com/job_detail/1fad8149970c603e1XN809-_EFZZ.html |
| java架构师 | 沈阳 | 20-21K | 5-10年本科 | 某知名其他行业上市公司 | 其他行业已上市1000-9999人 | https://www.zhipin.com/job_detail/f7c829f8f2c764df1HV73t24E1RZ.html |
| 安卓开发 | 沈阳·浑南区·桃仙 | 9-13K | 经验不限本科 | 沈阳信华信教育科技 | 计算机软件100-499人 | https://www.zhipin.com/job_detail/920d6b8d3cc22c121HR52NW7FFNQ.html |
| 高级车载安卓开发工程师 | 沈阳·浑南区·桃仙 | 13-26K·13薪 | 5-10年大专 | 沄道 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/8062c0981c8ec1441HR829W5GVpS.html |
| 软件所负责人 | 沈阳·浑南区·深井子 | 18-25K | 5-10年本科 | 中煤科工机器人科技 | 计算机/通信/其他电子设备未融资100-499人 | https://www.zhipin.com/job_detail/a8e5f9d3db980ea81HJ52NS4F1VZ.html |
| Java主管（沈阳） | 沈阳·大东区·北站 | 15-20K | 3-5年本科 | 广州市天誉创高电子 | 通信/网络设备未融资500-999人 | https://www.zhipin.com/job_detail/080f41c1df9278ed1nx90t-5GFBZ.html |
| Java开发 | 沈阳·沈河区·北站 | 7-8K | 3-5年本科 | 艾捷智 | 电子商务100-499人 | https://www.zhipin.com/job_detail/56072452aceafc951HNy09W7GFNT.html |
| Java初级程序员 | 沈阳·皇姑区·昆山 | 3-4K | 1年以内本科 | 正力科技 | 计算机软件不需要融资0-20人 | https://www.zhipin.com/job_detail/92db091a4a1ca2e71nZ-2Nu8FFJX.html |
| 中级大数据开发工程师 | 沈阳·浑南区·白塔 | 10-12K | 1-3年本科 | 融嘉合创 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/f1a92955fed2268d1HB53d6-GVdR.html |
| Android | 沈阳·和平区·文化路 | 10-15K | 1-3年本科 | 浩宇地理 | 其他专业服务未融资20-99人 | https://www.zhipin.com/job_detail/55c40700dc0ebfd71nF-2t6_GFtZ.html |
| 软件开发工程师 | 沈阳 | 13-20K·14薪 | 经验不限本科 | 华为 | 计算机软件不需要融资10000人以上 | https://www.zhipin.com/job_detail/37a3823bdc89dd371HN83Nq0EFtY.html |
| 安卓开发工程师 | 沈阳 | 20-28K·13薪 | 经验不限本科 | 某知名汽车研发公司 | 汽车研发/制造未融资1000-9999人 | https://www.zhipin.com/job_detail/017eaa6d38c92bf21HZy2N26GFdX.html |
