| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| java中高级开发工程师 | 重庆·沙坪坝区·大学城 | 9-14K | 5-10年本科 | 一快科技有限公司 | 电子商务天使轮20-99人 | https://www.zhipin.com/job_detail/f21a3d4eff5fc0811HJ72Nq6GFpV.html |
| java开发工程师 | 重庆·渝北区·龙溪 | 8-10K | 3-5年本科 | 中新金桥 | 学术/科研未融资100-499人 | https://www.zhipin.com/job_detail/33a2309a9e1052b31HV_3925F1tZ.html |
| JAVA高级工程师 | 重庆 | 20-40K·16薪 | 3-5年本科 | 菜鸟网络 | 互联网B轮10000人以上 | https://www.zhipin.com/job_detail/ae981b94656b7cce1nV72Nq0FlFY.html |
| Java工程师 | 重庆·沙坪坝区·磁器口 | 6-8K·13薪 | 3-5年本科 | 贵飞科技 | 计算机硬件未融资0-20人 | https://www.zhipin.com/job_detail/25c57e900d2bd6df3nV53N-6GFA~.html |
| Java工程师 | 重庆·渝北区·人和 | 12-24K·14薪 | 3-5年本科 | 云从科技 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/9b8febc3ccb9c5941HN40tm4ElRQ.html |
| java全栈工程师 | 重庆·江北区·北滨路 | 15-20K | 1-3年本科 | 塑度 | 互联网A轮100-499人 | https://www.zhipin.com/job_detail/6ea2f1a4327a04eb1XF-29y-F1pZ.html |
| java开发工程师 | 重庆·渝北区·人和 | 13-18K | 3-5年本科 | 神州信息 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/e1e5598d86bc749e1Hx70t64ElRR.html |
| JAVA技术骨干 | 重庆·渝北区·汽博中心 | 8-13K | 3-5年本科 | 知向云 | 互联网不需要融资20-99人 | https://www.zhipin.com/job_detail/f17b09a2711869161XV_09W5EFZV.html |
| 高级Java工程师 | 重庆·渝北区·汽博中心 | 14-20K | 5-10年本科 | 恒速科技 | 互联网未融资20-99人 | https://www.zhipin.com/job_detail/00e640394564706d1XZ609q6GVNR.html |
| java后端工程师 | 重庆·沙坪坝区·凤天路 | 9-12K | 5-10年大专 | 烽顺科技 | 计算机软件不需要融资20-99人 | https://www.zhipin.com/job_detail/7e3a6b5f37e0eca71XN809S0FlZY.html |
| Java开发工程师 | 重庆·渝北区·黄泥塝 | 8-13K | 3-5年本科 | 视洞科技 | 互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/bf513d60b352893a1Hx739m7GFpT.html |
| JAVA开发工程师 | 重庆·渝中区·解放碑 | 7-12K | 经验不限本科 | 森鑫炬智慧 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/552ff04db17b15b01HN72Ni7F1pS.html |
| JAVA开发工程师 | 重庆·渝北区·大竹林 | 7-12K | 3-5年大专 | 中联赛尔重庆分公司 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/cfad1ae45db962641n190t25EFZU.html |
| java | 重庆·渝中区·解放碑 | 11-15K | 3-5年本科 | 网达软件 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/d02405cf389ece633nB929-0GFE~.html |
| java开发（重庆） | 重庆·渝北区·空港新城 | 10-11K | 5-10年大专 | 诚迈科技 | 互联网已上市1000-9999人 | https://www.zhipin.com/job_detail/01d41585ccc2c6a91Hx82dW_FlVV.html |
| java开发工程师 | 重庆·渝北区·光电园 | 12-24K | 3-5年本科 | 飞思达科技 | 通信/网络设备已上市100-499人 | https://www.zhipin.com/job_detail/c7a2f9115b6a44c21HNy3N61E1dS.html |
| Java开发工程师 | 重庆·沙坪坝区·大学城 | 10-15K | 3-5年本科 | 有咖互动 | 互联网B轮500-999人 | https://www.zhipin.com/job_detail/48c0867a32b5343f1Hd73dq_F1JR.html |
| Java | 重庆·南岸区·弹子石 | 30-60K·16薪 | 5-10年本科 | 蚂蚁集团 | 互联网D轮及以上10000人以上 | https://www.zhipin.com/job_detail/419b486f540191901nx839-8FltW.html |
| java开发工程师 | 重庆·江北区·五里店 | 12-18K | 5-10年本科 | 东方金信 | 计算机软件B轮500-999人 | https://www.zhipin.com/job_detail/507f0c8d5e64598a1Hx_2Nq0FVdX.html |
| Java高级开发工程师 | 重庆 | 25-45K·15薪 | 3-5年本科 | 蚂蚁集团 | 互联网D轮及以上10000人以上 | https://www.zhipin.com/job_detail/57e7d6c9708625b51XV629W5F1ZQ.html |
| ERP Java开发工程师 | 重庆·渝北区·回兴 | 9-14K | 5-10年本科 | 云之栖 | 医疗健康未融资20-99人 | https://www.zhipin.com/job_detail/0611e4d9821799891Hd-3tu6FFdZ.html |
| Java | 重庆·九龙坡区·二郎 | 16-18K | 5-10年大专 | 重庆半壳网络科技 | 游戏不需要融资0-20人 | https://www.zhipin.com/job_detail/ed9b0e96264127da1XNz2tm8GFFV.html |
| 资深java工程师 | 重庆·南岸区·南滨路 | 25-50K·16薪 | 5-10年本科 | 蚂蚁集团 | 互联网D轮及以上10000人以上 | https://www.zhipin.com/job_detail/e73d3f3cbd2580111Hdz3927ElZU.html |
| java开发 | 重庆·九龙坡区·石桥铺 | 8-13K | 3-5年本科 | 北京路刻科技有限公司 | 互联网金融不需要融资20-99人 | https://www.zhipin.com/job_detail/88c07d7b5294bfc81HJ42Nu9E1dV.html |
| 资深java架构师 | 重庆·江北区·寸滩 | 20-30K | 5-10年本科 | 智富亿家 | 电子商务20-99人 | https://www.zhipin.com/job_detail/6985c4f7fbc1b2f71XN63Ny7FFpX.html |
| 高级java开发 | 重庆 | 18-22K·13薪 | 10年以上本科 | 赛力斯研究院 | 汽车研发/制造1000-9999人 | https://www.zhipin.com/job_detail/572872a378776f601Hx43Nq_ElZV.html |
| JAVA工程师 | 重庆·南岸区·南滨路 | 6-9K | 3-5年大专 | 新光互动 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/f73271b369da9e7a1nZ73tu7E1NR.html |
| JAVA 软件工程师 | 重庆·渝北区·人和 | 9-13K·13薪 | 5-10年本科 | 广讯微科 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/bd290ef6b41f020d1Xd53Nm8FlNV.html |
| Java研发工程师 | 重庆·渝北区·光电园 | 10-15K·13薪 | 5-10年本科 | 艺臻 | 电子商务未融资20-99人 | https://www.zhipin.com/job_detail/fb876720f986059d1HN70928GFZW.html |
| java全栈工程师 | 重庆·南岸区·南坪 | 7-10K | 5-10年大专 | 派维特 | 电子商务未融资20-99人 | https://www.zhipin.com/job_detail/fa986183257f2b511X190ti8FVVQ.html |
| Java | 重庆·江北区·观音桥 | 9-14K | 3-5年大专 | 渝北区大定科技中心 | 计算机软件0-20人 | https://www.zhipin.com/job_detail/474f72e6cca803bb1nx42Nm1EldX.html |
| Java开发工程师 | 重庆·九龙坡区·石桥铺 | 5-8K | 1-3年大专 | 西番雅科技 | 生活服务(O2O)0-20人 | https://www.zhipin.com/job_detail/ea0a71a2855acfaa1n1y3tm5F1VW.html |
| java开发ZX | 重庆·渝北区·黄泥塝 | 5-10K | 3-5年大专 | 南京迈特望 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/d3eb7fb4414d06d31HV50t29GFBZ.html |
| java开发工程师 | 重庆·九龙坡区·二郎 | 7-9K | 3-5年大专 | 夏丽智能 | 其他行业20-99人 | https://www.zhipin.com/job_detail/88dc07e840ec130f1Hx429u4EVdQ.html |
| java开发 | 重庆·渝北区·人和 | 11-12K | 5-10年大专 | 中电金信 | 计算机软件B轮10000人以上 | https://www.zhipin.com/job_detail/6d34b2307fbc2db71HN83Ni4FlpX.html |
| Java开发工程师 | 重庆·渝北区·财富中心 | 10-15K | 5-10年本科 | 捷路科技 | 电子商务未融资20-99人 | https://www.zhipin.com/job_detail/b818f98d81e6e3fb1XZ_2Nm7F1VX.html |
| 中级java开发工程师 | 重庆·江北区·南桥寺 | 9-10K | 3-5年大专 | 商勤 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/0def231aea6c74ae1Hx80t-4FVNT.html |
| 高级Java开发工程师 | 重庆·渝北区·大竹林 | 16-30K | 5-10年本科 | 火虫创新 | 智能硬件20-99人 | https://www.zhipin.com/job_detail/52b7e6d022c6e2d41nJ609u5FlFR.html |
| 高级java开发工程师 | 重庆 | 20-25K | 5-10年本科 | 某大数据公司 | 大数据20-99人 | https://www.zhipin.com/job_detail/5bdde63dc74cf9831HFy0ti7ElFR.html |
| java开发工程师 | 重庆·江津区·双福 | 10-15K | 3-5年本科 | 元间科技 | 计算机软件20-99人 | https://www.zhipin.com/job_detail/aaa2404a5170e7c61XF_2d-0EVNQ.html |
| 中级java开发工程师 | 重庆·沙坪坝区·西永 | 5-8K | 1-3年本科 | 奎联大数据 | 互联网0-20人 | https://www.zhipin.com/job_detail/ba4325bc147a863e1X1529W1ElRT.html |
| Java/测试/前端软件开发工程师15-40k双休 | 重庆·九龙坡区·杨家坪 | 15-30K·15薪 | 经验不限本科 | 华为-成都研究所 | 互联网10000人以上 | https://www.zhipin.com/job_detail/13f8e1133fc262551HBy39m8FlpX.html |
| java工程师 | 重庆 | 20-22K | 5-10年本科 | 重庆某小型互联网公司 | 互联网20-99人 | https://www.zhipin.com/job_detail/4b3790cad73dfd1b1HNy09u9FFRU.html |
| Java高级研发工程师 | 重庆·九龙坡区·石桥铺 | 11-22K | 1-3年大专 | 云臻科技 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/61a50c06f9cb22611XZ52d-_FFRR.html |
| java工程师 | 重庆·九龙坡区·白市驿 | 11-15K·13薪 | 3-5年本科 | 西部智联 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/3735f224d1e7c2791HN42t28FlZZ.html |
| Java | 重庆·渝中区·大坪 | 15-25K | 5-10年本科 | 特斯联 | 互联网1000-9999人 | https://www.zhipin.com/job_detail/16b2c74efc9ef97d1nN42Nm6GFZT.html |
| 资深Java开发工程师 | 重庆·南岸区·茶园新区 | 20-24K | 10年以上本科 | 象辑科技股份有限公司 | 新能源100-499人 | https://www.zhipin.com/job_detail/99a560086cb5efc11HBz0tS7F1RU.html |
| java开发组长（高级） | 重庆·渝北区·光电园 | 15-20K·15薪 | 5-10年本科 | 维普智图 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/86a0d038fa58e0551HRy3t25FVNQ.html |
| java中级开发工程师 | 重庆·渝北区·回兴 | 8-13K | 5-10年本科 | 重庆智渝万物科技 | 计算机软件0-20人 | https://www.zhipin.com/job_detail/5d308a82da42c8481HF-3dy4GVJU.html |
| zy2401-Java开发工程师 | 重庆·渝北区·光电园 | 11-20K | 5-10年本科 | 中盈优创 | 计算机软件未融资1000-9999人 | https://www.zhipin.com/job_detail/d649d1bde6ba5d661Hd52ty5FltS.html |
| Java开发工程师 | 重庆·九龙坡区·石桥铺 | 5-8K | 3-5年本科 | 墨菲科技 | 计算机服务20-99人 | https://www.zhipin.com/job_detail/4c64fec6a7dc5d5c1Hx92Ny7FFRR.html |
| java开发工程师 | 重庆·沙坪坝区·大学城 | 10-12K | 5-10年本科 | 酷小贝 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/f2d921fa58425c5a1HNz29m6F1FQ.html |
| 高级java研发工程师 | 重庆·南岸区·南滨路 | 10-15K | 5-10年本科 | 重庆科道德网络科技 | 移动互联网0-20人 | https://www.zhipin.com/job_detail/9c89246eab1436ab1HB_09W6FVtY.html |
