| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| 资深java（居家办公） | 北京 | 30-40K | 5-10年大专 | 某大型医疗健康公司 | 医疗健康不需要融资10000人以上 | https://www.zhipin.com/job_detail/9887845d4bfec38d1HN_2dm6FlRU.html |
| JAVA高级工程师 | 北京·东城区·东单 | 20-25K | 5-10年本科 | 环球致优 | 咨询不需要融资20-99人 | https://www.zhipin.com/job_detail/718d72886bab12ce1HZ53NW9EFNW.html |
| 高级java工程师 | 北京·西城区·陶然亭 | 16-26K | 5-10年本科 | 安硕信息 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/9393d09c111764d81Hx63d28E1BR.html |
| Java工程师-交易/支付 | 北京·朝阳区·朝外 | 25-45K·14薪 | 5-10年本科 | 易宝支付 | 互联网D轮及以上1000-9999人 | https://www.zhipin.com/job_detail/c189faaaf25fef791HB82t21E1tV.html |
| 电商 Java 开发工程师 | 北京·丰台区·花乡 | 15-25K | 5-10年本科 | 北京灵福科技有限公司 | 互联网未融资20-99人 | https://www.zhipin.com/job_detail/ec1af4b8ee0ea4fa1HN53t28F1VZ.html |
| Java | 北京 | 35-65K·16薪 | 5-10年本科 | 某大型人力资源服务公司 | 人力资源服务10000人以上 | https://www.zhipin.com/job_detail/58038351becf99991Hx92dS9FFRV.html |
| java | 北京·西城区·金融街 | 22-27K | 5-10年本科 | 信通泰克科技有限公司 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/1437e6f4c9407e991Hx_0tu-GVtS.html |
| java高级开发工程 | 北京·大兴区·亦庄 | 25-50K·16薪 | 5-10年本科 | 京东物流 | 互联网已上市10000人以上 | https://www.zhipin.com/job_detail/56a3697b104d8b2f1HR72dW_ElVX.html |
| java开发 | 北京 | 20-40K | 5-10年本科 | 某大型已上市通信/网络设备公司 | 通信/网络设备已上市10000人以上 | https://www.zhipin.com/job_detail/764186dac007969b1Hx43tS6F1pS.html |
| Java开发工程师 | 北京 | 20-40K·14薪 | 5-10年本科 | 某知名企业 | 游戏不需要融资1000-9999人 | https://www.zhipin.com/job_detail/9eb5f9e5ae395ffa1Xdz3dW-F1NY.html |
| 高级java开发 | 北京·海淀区·中关村 | 25-40K·13薪 | 5-10年本科 | 旭动 | 互联网20-99人 | https://www.zhipin.com/job_detail/dcb4fc495cdde70f1HJ43Ny1FFBR.html |
| 资深java工程师 | 北京·朝阳区·西坝河 | 15-30K·13薪 | 5-10年本科 | 北京图腾数科技术 | 计算机软件不需要融资100-499人 | https://www.zhipin.com/job_detail/91934e1276eb24331HJ53dm-FVJX.html |
| Java-居家办公居家办公！！ | 北京 | 40-70K·16薪 | 5-10年本科 | 某中型移动互联网公司 | 移动互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/4b3af6b05210cfc41HN52tS6F1tZ.html |
| 高级Java工程师-代驾 | 北京·朝阳区·望京 | 25-50K·14薪 | 5-10年本科 | 白龙马云行科技 | 互联网不需要融资100-499人 | https://www.zhipin.com/job_detail/694c2b946eeddd391XJz09S5FlVZ.html |
| Java高级工程师 | 北京 | 20-30K | 5-10年本科 | 某大型汽车研发/制造公司 | 汽车研发/制造不需要融资1000-9999人 | https://www.zhipin.com/job_detail/303e79171b1a60011Hx-2dq6FVJZ.html |
| 高级java研发工程师 | 北京·朝阳区·望京 | 20-25K | 5-10年本科 | 天九共享控股集团 | 互联网不需要融资1000-9999人 | https://www.zhipin.com/job_detail/29ee0a1c8eea9b731Hx53NW7GFFZ.html |
| 高级java架构师 | 北京·海淀区·上地 | 25-40K·13薪 | 5-10年本科 | 筑龙 | 计算机软件D轮及以上500-999人 | https://www.zhipin.com/job_detail/3dd25ddce63b96a11HB40tm5GFFS.html |
| JAVA(外包海底捞） | 北京·朝阳区·望京 | 15-23K | 5-10年本科 | 信必优Symbio | 互联网不需要融资1000-9999人 | https://www.zhipin.com/job_detail/386cb5493ca173ba1HNy3t-9FlFX.html |
| 后端Java Leader | 北京·海淀区·上地 | 40-70K·16薪 | 5-10年本科 | 快手 | 社交网络与媒体已上市10000人以上 | https://www.zhipin.com/job_detail/1979f8028350ddc61Hx73di6GFpR.html |
| java开发工程师 | 北京 | 15-25K | 5-10年本科 | 某500强上市公司 | 计算机软件已上市10000人以上 | https://www.zhipin.com/job_detail/274e45c5a0640ce01HF92tu-FVdT.html |
| 资深java服务器 | 北京 | 20-40K | 5-10年本科 | 英雄互娱 | 游戏已上市1000-9999人 | https://www.zhipin.com/job_detail/a5d9aaf48f651c7f1XF53NS6FFRQ.html |
| java研发专家 | 北京 | 45-55K·15薪 | 5-10年本科 | 某知名运营商公司 | 运营商/增值服务1000-9999人 | https://www.zhipin.com/job_detail/0eeacd1eec772c451HF80t61FVpQ.html |
| Java技术专家 | 北京·海淀区·西北旺 | 30-50K·14薪 | 5-10年本科 | 用友网络 | 互联网已上市10000人以上 | https://www.zhipin.com/job_detail/3be03d84092412951HN-09S9FlZS.html |
| Java开发工程师 | 北京·东城区·东四 | 15-21K | 5-10年本科 | 北京金科吉瑞科技 | 计算机软件100-499人 | https://www.zhipin.com/job_detail/7332e70e7c1d0c931Hx62ty9GFVT.html |
| 美团Java开发工程师 | 北京·朝阳区·望京 | 25-50K | 5-10年本科 | 美团 | 互联网已上市10000人以上 | https://www.zhipin.com/job_detail/8966e185f6068fda1Hx-0tW9GVRX.html |
| Java | 北京·海淀区·学院路 | 30-40K | 5-10年本科 | 奥金拓 | 互联网C轮100-499人 | https://www.zhipin.com/job_detail/a45b4a084b5f655e1HN62Ni4GVZR.html |
