| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| 高级java开发 | 成都·武侯区·双楠 | 20-30K·16薪 | 3-5年本科 | 京东科技集团 | 互联网不需要融资1000-9999人 | https://www.zhipin.com/job_detail/946a7c4a1d9afcf21HV_3N2_GVZS.html |
| Java工程师 | 成都·双流区·华阳 | 11-22K | 5-10年本科 | 生命奇点 | 医疗健康A轮100-499人 | https://www.zhipin.com/job_detail/bfc7f41eca58dec41Hx82du8FVJZ.html |
| Java | 成都·双流区·中和 | 12-22K·14薪 | 1-3年本科 | 拱卒科技 | 互联网不需要融资20-99人 | https://www.zhipin.com/job_detail/aa54cca6258002961XF-3N20EFdU.html |
| Java（长沙） | 成都 | 17-23K | 3-5年本科 | 长沙某大型计算机软件公司 | 计算机软件1000-9999人 | https://www.zhipin.com/job_detail/75e17b0d0ce3843a1HN92Ni6E1BQ.html |
| 高级java专家 | 成都 | 25-50K·18薪 | 5-10年本科 | 某大型互联网公司 | 互联网未融资100-499人 | https://www.zhipin.com/job_detail/0e156307a6d60a5a1HVy3d-4GFRR.html |
| 高级Java开发工程师(J10536) | 成都·武侯区·石羊场 | 14-22K | 5-10年本科 | 九恒星 | 互联网已上市100-499人 | https://www.zhipin.com/job_detail/075fb083fa8905b71HF93d-4EFJX.html |
| Java高级工程师 | 成都·武侯区·紫荆 | 10-14K | 5-10年本科 | 成都云汇科创科技 | 计算机服务0-20人 | https://www.zhipin.com/job_detail/5cbde581068bab341HJ539q-EFdW.html |
| java工程师 | 成都 | 20-30K | 经验不限本科 | 成都某大型物业管理公司 | 物业管理未融资1000-9999人 | https://www.zhipin.com/job_detail/e141b327138bd82d1HN42Ny7GVtV.html |
| Java高级工程师 | 成都·双流区·东升 | 20-35K·14薪 | 5-10年本科 | 美菜 | 电子商务D轮及以上10000人以上 | https://www.zhipin.com/job_detail/b723b248ebcd57620XN839u5EFo~.html |
| java开发 | 成都·武侯区·紫荆 | 15-18K | 5-10年本科 | 依莱文 | 人力资源服务未融资100-499人 | https://www.zhipin.com/job_detail/2417231b99ea6cef1Hx83Ni5FVtY.html |
| Java | 成都·武侯区·新会展中心 | 15-30K·13薪 | 5-10年本科 | 多点 | 新零售C轮1000-9999人 | https://www.zhipin.com/job_detail/88ad17a94df8390c1n1729S8EFZY.html |
| java开发 | 成都·锦江区·牛市口 | 22-40K | 3-5年大专 | 新链 | 计算机软件20-99人 | https://www.zhipin.com/job_detail/b3df535de473c7271HJ409W5GFRT.html |
| 高级测试开发工程师（工具平台）Java | 成都 | 20-21K | 5-10年本科 | 某知名计算机软件上市公司 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/4a722c7005e03e291HJz2N25F1NU.html |
| 中高级java开发 | 成都·武侯区·科华北路 | 15-21K | 5-10年本科 | 生活家家居集团 | 装修装饰未融资1000-9999人 | https://www.zhipin.com/job_detail/346cc4b1878c7c341HN92dm6GVFY.html |
| Java开发（美的项目） | 成都·武侯区·中和 | 12-16K | 5-10年本科 | 建广数科 | 计算机软件未融资1000-9999人 | https://www.zhipin.com/job_detail/80563d30cb325fb11Hx92dm0E1JZ.html |
